EventId,EventTemplate,Occurrences
7785b392,"10.11.10.1 <*> <*> HTTP/1.1"" status <*> len <*> time <*>",98271
ec257c96,[instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Creating image,1
7f86987c,[instance <*> VM <*> (Lifecycle Event),10331
d02f2747,While synchronizing instance power states found 1 instances in the database and 0 instances on the hypervisor.,45
4d7f48b0,[instance <*> <*> <*> <*> instance <*>,563
74b96020,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742) checking,12043
3a49fff4,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742) in use on this node 1 local 0 on other nodes sharing this instance storage,12043
62689c28,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,20217
b20bcab5,Creating event network-vif-plugged <*> for instance <*>,2065
9e3d1a0d,[instance <*> Instance <*> successfully.,1114
67e60093,[instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took <*> seconds to <*>,3
fbadc48b,[instance <*> Deletion of <*> complete,557
829a8040,HTTP exception thrown No instances found for any event,2064
07df6e99,[instance <*> Attempting claim memory 2048 MB disk 20 GB vcpus 1 CPU,2065
e9c071e0,[instance 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] <*>,8
71816979,[instance <*> memory limit 96258.00 MB free 95746.00 MB,2065
a35534bf,[instance 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Total <*> <*> <*> used 0.00 <*>,2
291524ee,[instance <*> <*> limit not specified defaulting to unlimited,4130
bc0f0d5b,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,1739
be0842b0,Total usable vcpus 16 total allocated vcpus <*>,1739
bcb9b1eb,Final resource view name cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram 64172MB used_ram <*> phys_disk 15GB used_disk <*> total_vcpus 16 used_vcpus <*> pci_stats [],1739
