EventId,EventTemplate,Occurrences
7785b392,"10.11.10.1 <*> <*> HTTP/1.1"" status <*> len <*> time <*>",71761
ec257c96,[instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Creating image,1
7f86987c,[instance <*> VM <*> (Lifecycle Event),7551
d02f2747,While synchronizing instance power states found 1 instances in the database and 0 instances on the hypervisor.,31
c6e8735d,[instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] <*> <*> <*> instance <*>,6
74b96020,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742) checking,9894
3a49fff4,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742) in use on this node 1 local 0 on other nodes sharing this instance storage,9894
62689c28,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,15838
b20bcab5,Creating event network-vif-plugged <*> for instance <*>,1509
2192a99f,[instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Instance <*> successfully.,2
67e60093,[instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took <*> seconds to <*>,3
c2635256,[instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Deletion of /var/lib/nova/instances/3edec1e4-9678-4a3a-a21b-a145a4ee5e61_del complete,1
829a8040,HTTP exception thrown No instances found for any event,1508
07df6e99,[instance <*> Attempting claim memory 2048 MB disk 20 GB vcpus 1 CPU,1509
e9c071e0,[instance 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] <*>,8
71816979,[instance <*> memory limit 96258.00 MB free 95746.00 MB,1509
a35534bf,[instance 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Total <*> <*> <*> used 0.00 <*>,2
291524ee,[instance <*> <*> limit not specified defaulting to unlimited,3018
bc0f0d5b,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,1361
be0842b0,Total usable vcpus 16 total allocated vcpus <*>,1361
bcb9b1eb,Final resource view name cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram 64172MB used_ram <*> phys_disk 15GB used_disk <*> total_vcpus 16 used_vcpus <*> pci_stats [],1361
2c51bf5c,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,1361
dd9f13e4,[instance <*> During sync_power_state the instance has a pending task <*> Skip.,2973
eddae1d1,[instance 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Took <*> seconds to <*>,4
06ae78c9,[instance 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] <*>,8
8df9d973,[instance 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] Total <*> <*> <*> used 0.00 <*>,2
